Year,incorporated_country,Primary activity,Primary sector,Market_Cap_USD,Third_party_verification,Revenue_USD,ebitda_USD,grossProfit_USD,netIncome_USD,cashAndCashEquivalents_USD,shortTermInvestments_USD,longTermInvestments_USD,totalAssets_USD,totalLiabilities_USD,totalInvestments_USD,totalDebt_USD,totalEquity_USD,Scope_3_emissions_type,Scope_3_emissions_amount,country_ghg_avg,country_population_avg,country_gdp_avg,random_normal,random_uniform
2018,United Kingdom,Electrical equipment,Electrical & electronic equipment,15951555600.0,No third-party verification or assurance,14435000000.0,2260000000.0,2729000000.0,1067000000.0,567000000.0,72000000.0,99000000.0,12480000000.0,8810000000.0,171000000.0,4344000000.0,3670000000.0,Capital goods,337000.0,428.7667262376237,67346924.78373283,3038320070320.4893,-1.1165334663301887,0.6795842516526569
2018,United Kingdom,Electrical equipment,Electrical & electronic equipment,15951555600.0,No third-party verification or assurance,14435000000.0,2260000000.0,2729000000.0,1067000000.0,567000000.0,72000000.0,99000000.0,12480000000.0,8810000000.0,171000000.0,4344000000.0,3670000000.0,Capital goods,337000.0,428.7667262376237,67346924.78373283,3038320070320.4893,-1.4583590210880315,0.5036861812439799
2018,United Kingdom,Pharmaceuticals,Biotech & pharma,74410910000.0,Third-party verification or assurance process in place,22090000000.0,7165000000.0,17154000000.0,2155000000.0,4831000000.0,849000000.0,113000000.0,60651000000.0,46607000000.0,922000000.0,19113000000.0,14044000000.0,Capital goods,88314.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.9309564060900986,0.5391539225065501
2018,United Kingdom,REIT,Financial services,6501390821.17,Third-party verification or assurance process in place,1148080000.0,-302260000.0,641350000.0,-369570000.0,307340000.0,-195580000.0,3597910000.0,15565120000.0,4530090000.0,3402330000.0,3966210000.0,11035030000.0,Capital goods,106395.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.969020445306165,0.21431551887130684
2018,United Kingdom,Telecommunications services,"Media, telecommunications & data center services",29971087503.73,Third-party verification or assurance process in place,29753560000.0,9392920000.0,19542760000.0,2741930000.0,2059940000.0,4081780000.0,128270000.0,58784490000.0,45872400000.0,128270000.0,21432520000.0,12912090000.0,Capital goods,448000.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.31464567321635833,0.3843465851774336
2018,United Kingdom,Non-alcoholic beverages,Food & beverage processing,24113808535.68,Third-party verification or assurance process in place,12837710684.160002,2319437043.36,4906372845.6,1013151502.44,301320055.08000004,32400005.4,2160000.0,19673283627.72,12584162319.84,34560005.400000006,6067441117.8,7089121306.8,Capital goods,303408.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.5849281307429676,0.06813934931932963
2018,United Kingdom,Alcoholic beverages,Food & beverage processing,85830537000.0,Third-party verification or assurance process in place,15447010000.0,5896610000.0,9561830000.0,3837940000.0,1109980000.0,44450000.0,4066540000.0,37738050000.0,22862540000.0,4110990000.0,12575540000.0,14875510000.0,Capital goods,319032.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.7029062556025393,0.5295186002740104
2018,United Kingdom,Pharmaceuticals,Biotech & pharma,75089272224.0,Third-party verification or assurance process in place,39142670000.0,9344660000.0,26136600000.0,4601210000.0,4919980000.0,106680000.0,1871980000.0,73743820000.0,69080380000.0,1978660000.0,33101280000.0,4663440000.0,Capital goods,351026.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.23999930089976604,0.3442514917953381
2018,United Kingdom,"Supermarkets, food & drugstores",Convenience retail,7402027429.85,Third-party verification or assurance process in place,36838890000.0,2133600000.0,2919730000.0,236220000.0,591820000.0,267970000.0,557530000.0,35573970000.0,25690830000.0,557530000.0,10177780000.0,9883140000.0,Capital goods,51120.0,428.7667262376237,67346924.78373283,3038320070320.4893,3.0153154116984835,0.25904798898801307
2018,United Kingdom,REIT,Financial services,7559751200.0,Third-party verification or assurance process in place,961390000.0,637540000.0,736600000.0,-151130000.0,17780000.0,15240000.0,1324610000.0,17823180000.0,5224780000.0,1324610000.0,4801870000.0,12598400000.0,Capital goods,128551.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.44084019442716993,0.7978587693742455
2018,United Kingdom,Banks,Financial services,51106528610.97,Third-party verification or assurance process in place,23578820000.0,14249400000.0,23578820000.0,5463540000.0,70243700000.0,-51796950000.0,269464790000.0,1012949460000.0,949196730000.0,217667840000.0,139608560000.0,63752730000.0,Capital goods,258700.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.6032391265594336,0.4754751309861842
2018,United Kingdom,"Supermarkets, food & drugstores",Convenience retail,4877303726.45,Third-party verification or assurance process in place,13179171000.0,1089406000.0,4739005000.0,42545000.0,362458000.0,173736000.0,36195000.0,11240770000.0,8104886000.0,209931000.0,5443092998.7300005,3135884000.0,Capital goods,230000.0,428.7667262376237,67346924.78373283,3038320070320.4893,-1.3346641129031922,0.674682668336723
2018,United Kingdom,Banks,Financial services,33135272820.0,Third-party verification or assurance process in place,16943070000.0,8227060000.0,16943070000.0,2741930000.0,112899190000.0,-68693030000.0,339665310000.0,881678450000.0,822636150000.0,270972280000.0,63384430000.0,59042300000.0,Capital goods,152549.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.9818687594742934,0.1674225545574003
2018,United Kingdom,Other professional services,Specialized professional services,40648509000.0,Third-party verification or assurance process in place,9514840000.0,3328670000.0,6156960000.0,1805940000.0,144780000.0,12700000.0,370840000.0,17778730000.0,14782800000.0,323850000.0,8083550000.0,2995930000.0,Capital goods,30307.0,428.7667262376237,67346924.78373283,3038320070320.4893,-1.2940019565370973,0.5013306201476627
2018,United Kingdom,Other professional services,Specialized professional services,1375476548.0,Third-party verification or assurance process in place,3602736000.0,194310000.0,368554000.0,85598000.0,79375000.0,-38608000.0,64770000.0,1973072000.0,1481836000.0,26162000.0,322961000.0,491236000.0,Capital goods,320236.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.1518454567237322,0.4234170581865001
2018,United Kingdom,Industrial machinery,Powered machinery,6945459176.11,Third-party verification or assurance process in place,4080510000.0,828040000.0,1859280000.0,351790000.0,910590000.0,-135890000.0,158750000.0,6569710000.0,3663950000.0,22860000.0,2044700000.0,2905760000.0,Capital goods,85431.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.5931634798937451,0.9284433591751866
2018,USA,Specialty chemicals,Chemicals,92001525000.0,Third-party verification or assurance process in place,32765000000.0,8695000000.0,16083000000.0,5349000000.0,2853000000.0,380000000.0,188000000.0,36500000000.0,26652000000.0,568000000.0,14622000000.0,9900000000.0,Capital goods,436000.0,5260.920556805897,331524312.67345613,23838586403358.613,-1.7295350820078899,0.22852064413355566
