Year,incorporated_country,Primary activity,Primary sector,Market_Cap_USD,Third_party_verification,Revenue_USD,ebitda_USD,grossProfit_USD,netIncome_USD,cashAndCashEquivalents_USD,shortTermInvestments_USD,longTermInvestments_USD,totalAssets_USD,totalLiabilities_USD,totalInvestments_USD,totalDebt_USD,totalEquity_USD,Scope_3_emissions_type,Scope_3_emissions_amount,country_ghg_avg,country_population_avg,country_gdp_avg,random_normal,random_uniform
2018,United Kingdom,Electrical equipment,Electrical & electronic equipment,15951555600.0,No third-party verification or assurance,14435000000.0,2260000000.0,2729000000.0,1067000000.0,567000000.0,72000000.0,99000000.0,12480000000.0,8810000000.0,171000000.0,4344000000.0,3670000000.0,End of life treatment of sold products,87100.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.6054103264692031,0.8259161637724358
2018,United Kingdom,Electrical equipment,Electrical & electronic equipment,15951555600.0,No third-party verification or assurance,14435000000.0,2260000000.0,2729000000.0,1067000000.0,567000000.0,72000000.0,99000000.0,12480000000.0,8810000000.0,171000000.0,4344000000.0,3670000000.0,End of life treatment of sold products,87100.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.4221524859742963,0.10720508874330226
2018,United Kingdom,Pharmaceuticals,Biotech & pharma,74410910000.0,Third-party verification or assurance process in place,22090000000.0,7165000000.0,17154000000.0,2155000000.0,4831000000.0,849000000.0,113000000.0,60651000000.0,46607000000.0,922000000.0,19113000000.0,14044000000.0,End of life treatment of sold products,23597.0,428.7667262376237,67346924.78373283,3038320070320.4893,-1.6159189245267565,0.45898535487752545
2018,United Kingdom,Telecommunications services,"Media, telecommunications & data center services",29971087503.73,Third-party verification or assurance process in place,29753560000.0,9392920000.0,19542760000.0,2741930000.0,2059940000.0,4081780000.0,128270000.0,58784490000.0,45872400000.0,128270000.0,21432520000.0,12912090000.0,End of life treatment of sold products,1000.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.1950919304460367,0.047804248255008064
2018,United Kingdom,Alcoholic beverages,Food & beverage processing,85830537000.0,Third-party verification or assurance process in place,15447010000.0,5896610000.0,9561830000.0,3837940000.0,1109980000.0,44450000.0,4066540000.0,37738050000.0,22862540000.0,4110990000.0,12575540000.0,14875510000.0,End of life treatment of sold products,23500.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.965762249746936,0.9184799003865329
2018,United Kingdom,Pharmaceuticals,Biotech & pharma,75089272224.0,Third-party verification or assurance process in place,39142670000.0,9344660000.0,26136600000.0,4601210000.0,4919980000.0,106680000.0,1871980000.0,73743820000.0,69080380000.0,1978660000.0,33101280000.0,4663440000.0,End of life treatment of sold products,100140.0,428.7667262376237,67346924.78373283,3038320070320.4893,1.0362882676293796,0.014782032426856606
2018,United Kingdom,"Supermarkets, food & drugstores",Convenience retail,7402027429.85,Third-party verification or assurance process in place,36838890000.0,2133600000.0,2919730000.0,236220000.0,591820000.0,267970000.0,557530000.0,35573970000.0,25690830000.0,557530000.0,10177780000.0,9883140000.0,End of life treatment of sold products,1134000.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.9976991795856851,0.4105267994734403
2018,United Kingdom,Banks,Financial services,51106528610.97,Third-party verification or assurance process in place,23578820000.0,14249400000.0,23578820000.0,5463540000.0,70243700000.0,-51796950000.0,269464790000.0,1012949460000.0,949196730000.0,217667840000.0,139608560000.0,63752730000.0,End of life treatment of sold products,2950.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.5779947093538886,0.6269141938331229
2018,United Kingdom,"Supermarkets, food & drugstores",Convenience retail,4877303726.45,Third-party verification or assurance process in place,13179171000.0,1089406000.0,4739005000.0,42545000.0,362458000.0,173736000.0,36195000.0,11240770000.0,8104886000.0,209931000.0,5443092998.7300005,3135884000.0,End of life treatment of sold products,100000.0,428.7667262376237,67346924.78373283,3038320070320.4893,1.490770712540108,0.397432115577249
2018,United Kingdom,Building sub-contractors,Construction,651888458.73,Third-party verification or assurance process in place,3773805000.0,134620000.0,400431000.0,84836000.0,275844000.0,-23749000.0,128905000.0,1723517000.0,1283335000.0,105156000.0,72517000.0,440182000.0,End of life treatment of sold products,10000.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.3955067687610945,0.29218845533000903
