Year,incorporated_country,Primary activity,Primary sector,Market_Cap_USD,Third_party_verification,Revenue_USD,ebitda_USD,grossProfit_USD,netIncome_USD,cashAndCashEquivalents_USD,shortTermInvestments_USD,longTermInvestments_USD,totalAssets_USD,totalLiabilities_USD,totalInvestments_USD,totalDebt_USD,totalEquity_USD,Scope_3_emissions_type,Scope_3_emissions_amount,country_ghg_avg,country_population_avg,country_gdp_avg,random_normal,random_uniform
2018,United Kingdom,Hotels & lodging,"Bars, hotels & restaurants",7765811507.0,Third-party verification or assurance process in place,4337000000.0,800000000.0,1081000000.0,351000000.0,704000000.0,1000000.0,363000000.0,3753000000.0,4830000000.0,364000000.0,2249000000.0,-1077000000.0,Franchises,2631574.96,428.7667262376237,67346924.78373283,3038320070320.4893,0.13584032408655916,0.8988418321010879
2018,United Kingdom,"Supermarkets, food & drugstores",Convenience retail,4877303726.45,Third-party verification or assurance process in place,13179171000.0,1089406000.0,4739005000.0,42545000.0,362458000.0,173736000.0,36195000.0,11240770000.0,8104886000.0,209931000.0,5443092998.7300005,3135884000.0,Franchises,150000.0,428.7667262376237,67346924.78373283,3038320070320.4893,-1.2340369542149114,0.05111712752977371
2018,USA,Apparel stores,Discretionary retail,9814560000.0,Third-party verification or assurance process in place,16580000000.0,1879000000.0,6322000000.0,1003000000.0,1081000000.0,288000000.0,338000000.0,8049000000.0,4496000000.0,288000000.0,1249000000.0,3553000000.0,Franchises,40652.0,5260.920556805897,331524312.67345613,23838586403358.613,0.16369712082092663,0.24667066518447767
2018,USA,Other food processing,Food & beverage processing,23379576000.0,Third-party verification or assurance process in place,15740400000.0,3459300000.0,5427500000.0,2131000000.0,399000000.0,7100000.0,499600000.0,30624000000.0,23355400000.0,499600000.0,15818600000.0,7268600000.0,Franchises,9086.0,5260.920556805897,331524312.67345613,23838586403358.613,-1.8990454651031714,0.01147456665215374
2018,USA,Hotels & lodging,"Bars, hotels & restaurants",7163988618.0,No third-party verification or assurance,4454000000.0,618000000.0,979000000.0,769000000.0,570000000.0,116000000.0,735000000.0,7643000000.0,3966000000.0,851000000.0,1634000000.0,3677000000.0,Franchises,408613.0,5260.920556805897,331524312.67345613,23838586403358.613,-1.3297257078352007,0.8080551448589128
2018,USA,Other food processing,Food & beverage processing,155334880000.0,Third-party verification or assurance process in place,64661000000.0,13113000000.0,35280000000.0,12515000000.0,8721000000.0,272000000.0,2409000000.0,77648000000.0,63046000000.0,2681000000.0,32321000000.0,14602000000.0,Franchises,1418720.0,5260.920556805897,331524312.67345613,23838586403358.613,-2.9434575914132037,0.5094583905671842
2018,USA,Non-alcoholic beverages,Food & beverage processing,202231850000.0,Third-party verification or assurance process in place,34300000000.0,10261000000.0,21233000000.0,6434000000.0,9077000000.0,7038000000.0,20279000000.0,83216000000.0,64158000000.0,27312000000.0,44214000000.0,19058000000.0,Franchises,4842815.0,5260.920556805897,331524312.67345613,23838586403358.613,-1.0251697145416137,0.8815717470803166
2018,USA,Passenger airlines,Air transport,22355910000.0,Third-party verification or assurance process in place,41303000000.0,3804000000.0,11138000000.0,2129000000.0,1694000000.0,2256000000.0,966000000.0,44772000000.0,34777000000.0,3222000000.0,14728000000.0,9995000000.0,Franchises,4989.0,5260.920556805897,331524312.67345613,23838586403358.613,-1.205715764430851,0.9747423387235354
2018,USA,Logistics - 3rd party,Intermodal transport & logistics,84460980000.0,Third-party verification or assurance process in place,71861000000.0,6534000000.0,7024000000.0,4791000000.0,4225000000.0,810000000.0,170000000.0,49589000000.0,46552000000.0,980000000.0,19931000000.0,3053000000.0,Franchises,56000.0,5260.920556805897,331524312.67345613,23838586403358.613,0.5595741056212765,0.12323969212331443
2018,USA,Fast food,"Bars, hotels & restaurants",28311360000.0,Third-party verification or assurance process in place,5688000000.0,1879000000.0,2658000000.0,1542000000.0,292000000.0,21000000.0,214000000.0,4130000000.0,12056000000.0,214000000.0,10072000000.0,-7926000000.0,Franchises,8644705.0,5260.920556805897,331524312.67345613,23838586403358.613,-0.10855955241192476,0.37390214256939736
2018,Spain,"Dealers, wholesalers & distributors","Trading, wholesale, distribution, rental & leasing",3147839991.7200003,Third-party verification or assurance process in place,10234602720.0,315691560.0,990188280.0,169242480.0,165796200.0,2063808720.0,-2056726080.0,7414405200.000001,6861868560.0,7082640.000000001,32080320.000000004,552536640.0,Franchises,25542.0,284.0074776923077,47526614.02688638,1448411888707.506,0.5502657523456644,0.9039853099833578
2018,Spain,Apparel stores,Discretionary retail,75158535423.24,Third-party verification or assurance process in place,28236600000.0,5986440000.0,16001280000.000002,3719520000.000001,5255280000.0,2083320000.0,-1345680000.0,23418720000.0,7561080000.000001,737640000.0,1157760000.0,15857640000.000002,Franchises,121171.0,284.0074776923077,47526614.02688638,1448411888707.506,1.7380862235333465,0.2183975437682183
2018,Spain,Passenger airlines,Air transport,12627243243.36,Third-party verification or assurance process in place,26358480000.0,5384880000.0,7386120000.000001,3115800000.0,4098600000.000001,2631960000.0,-2512080000.0,30276720000.000004,23019120000.0,119880000.0,8109720000.000001,7257600000.000001,Franchises,775672.0,284.0074776923077,47526614.02688638,1448411888707.506,1.1006700539843757,0.15029023204446978
2018,Spain,Insurance,Financial services,7855055998.92,Third-party verification or assurance process in place,23572285200.0,1062093600.0,23572285200.0,571168800.0,2377522800.0,36738565200.0,45281419200.0,72674085600.0,62740699200.00001,82019984400.0,4380534000.0,9933386400.0,Franchises,14044.89,284.0074776923077,47526614.02688638,1448411888707.506,0.026293423912443107,0.8680490709073805
2018,China,Telecommunications services,"Media, telecommunications & data center services",8931416982.781,Third-party verification or assurance process in place,3680702168.0,1105381880.0,1066914414.0,422907332.0,232460010.0,28326188.0,167922908.0,4577677868.0,2469873292.0,196249096.0,1608294973.0,2107804576.0,Franchises,7497.06,13105.52896153846,1409865393.8906753,16321982554241.91,-2.192601610888846,0.6615549259854878
2018,France,Hotels & lodging,"Bars, hotels & restaurants",11501907316.56,No third-party verification or assurance,3544560000.0,676080000.0,725760000.0,-84240000.0,3045600000.0,10800000.0,2431080000.0,14013000000.0,7054560000.0,2441880000.0,4350240000.0,6958440000.0,Franchises,2200000.0,412.74037668711657,67752654.7736665,2835402430390.976,0.1532804244301276,0.6619294927202642
2018,France,Specialist retail,Discretionary retail,927008838.36,Third-party verification or assurance process in place,1234589040.0,155488680.0,827697960.0,64854000.00000001,61738200.00000001,17280.0,15984000.000000002,1308273120.0,670408920.0,16001280.000000002,262134360.00000003,637864200.0,Franchises,388.0,412.74037668711657,67752654.7736665,2835402430390.976,-1.5808176135357705,0.3898363298287668
2018,Japan,Accessories manufacture,Accessories,1696826368.0,Third-party verification or assurance process in place,2474969600.0,132742400.0,1156262400.0,-130092800.0,437036800.0,-428800.0,60224000.0,1948544000.0,880838400.0,59795200.0,367276800.0,1067705600.0,Franchises,11.5,1173.0443633886498,125807702.91975002,4772504184563.338,0.8271892143155098,0.5361896402078061
2018,Japan,Electronic equipment,Electrical & electronic equipment,2711174504.6400003,Third-party verification or assurance process in place,4377420800.0,702387200.0,1869305600.0,344972800.0,839372800.0,51008000.0,298502400.0,4535065600.0,1708876800.0,219756800.0,619468800.0,2826188800.0,Franchises,97.25,1173.0443633886498,125807702.91975002,4772504184563.338,2.494919966255763,0.47750287102485633
2018,Japan,Real estate services,Other services,6844529852.160001,Third-party verification or assurance process in place,10183526400.0,928486400.0,1894675200.0,575552000.0,1207129600.0,80057600.0,698707200.0,5502540800.0,3567846400.0,411564800.0,594969600.0,1934694400.0,Franchises,9.29,1173.0443633886498,125807702.91975002,4772504184563.338,0.9853172290271777,0.37471167928705174
2018,Japan,Tobacco products,Tobacco,29997448252.800003,Third-party verification or assurance process in place,14182156800.0,4668217600.0,8210739200.0,2468326400.0,1805203200.0,228051200.0,935808000.0,34952960000.0,17670112000.0,1163859200.0,6257792000.0,17282848000.0,Franchises,887.0,1173.0443633886498,125807702.91975002,4772504184563.338,-0.23071105188220337,0.7380286870754352
2018,Japan,Electronic equipment,Electrical & electronic equipment,3142970515.2000003,Third-party verification or assurance process in place,6778368000.0,812473600.0,3256889600.0,266912000.0,798912000.0,21798400.0,347334400.0,7801510400.0,4179219200.0,304793600.0,1751910400.0,3622291200.0,Franchises,955.71,1173.0443633886498,125807702.91975002,4772504184563.338,-0.8003705975820553,0.3892459013893037
2018,Japan,Automobiles,Transportation equipment,5734160768.0,No third-party verification or assurance,16093401600.0,1201491200.0,2926425600.0,850374400.0,3205913600.0,-514131200.0,1111430400.0,12865977600.0,7226278400.0,597299200.0,1478361600.0,5639699200.0,Franchises,4735.0,1173.0443633886498,125807702.91975002,4772504184563.338,-0.8425245774954495,0.5435614443674253
2018,Japan,Insurance,Financial services,11700069580.8,Third-party verification or assurance process in place,34508012800.0,1710112000.0,34508012800.0,1233312000.0,9435558400.0,9884198400.0,102795974400.0,148048249600.0,130268748800.0,112680172800.0,4218195200.0,17779500800.0,Franchises,274590.0,1173.0443633886498,125807702.91975002,4772504184563.338,-1.0816772306370075,0.6945692007721824
