Year,incorporated_country,Primary activity,Primary sector,Market_Cap_USD,Third_party_verification,Revenue_USD,ebitda_USD,grossProfit_USD,netIncome_USD,cashAndCashEquivalents_USD,shortTermInvestments_USD,longTermInvestments_USD,totalAssets_USD,totalLiabilities_USD,totalInvestments_USD,totalDebt_USD,totalEquity_USD,Scope_3_emissions_type,Scope_3_emissions_amount,country_ghg_avg,country_population_avg,country_gdp_avg,random_normal,random_uniform
2018,United Kingdom,Insurance,Financial services,18800104598.09,Third-party verification or assurance process in place,28284170000.0,256540000.0,28284170000.0,1991360000.0,20226020000.0,18415000000.0,70730110000.0,545491670000.0,11644630000.0,89145110000.0,13606780000.0,23437850000.0,Other (upstream),141.0,428.7667262376237,67346924.78373283,3038320070320.4893,1.3076036792563317,0.48526614264340107
2018,United Kingdom,Banks,Financial services,18207317622.63,Third-party verification or assurance process in place,2711450000.0,1203960000.0,2423160000.0,609600000.0,1917700000.0,1094740000.0,31750000.0,1070414420000.0,1065717960000.0,31750000.0,2797810000.0,4696460000.0,Other (upstream),37.0,428.7667262376237,67346924.78373283,3038320070320.4893,-2.543023907644389,0.8303817516571634
2018,United Kingdom,Marketing,Web & marketing services,13551034219.95,Third-party verification or assurance process in place,16569309000.0,2149983000.0,3159252000.0,886714000.0,13250418000.0,803148000.0,1858645000.0,53619527000.0,41193466000.0,2661793000.0,19154775000.0,12426061000.0,Other (upstream),29924.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.5543422492226557,0.9247827620242189
2018,USA,Communications equipment,Electrical & electronic equipment,5300607739.0,Third-party verification or assurance process in place,3094286000.0,363216000.0,1314690000.0,-344690000.0,745423000.0,148981000.0,58970000.0,3756523000.0,1827189000.0,216007000.0,693450000.0,1929334000.0,Other (upstream),15824.1,5260.920556805897,331524312.67345613,23838586403358.613,-0.7606340277656578,0.3520887015906866
2018,USA,Pharmaceuticals,Biotech & pharma,113394028000.0,Third-party verification or assurance process in place,21493300000.0,9645100000.0,16811600000.0,3232000000.0,7320700000.0,88200000.0,2005400000.0,43908400000.0,32999300000.0,2108900000.0,10298600000.0,10909100000.0,Other (upstream),5646.0,5260.920556805897,331524312.67345613,23838586403358.613,0.24804987063332024,0.9414895913059041
2018,USA,Servers & data centers,"Media, telecommunications & data center services",28844343840.0,Third-party verification or assurance process in place,5071654000.0,2261050000.0,2466179000.0,365359000.0,606166000.0,4540000.0,-58300000.0,20244638000.0,13025359000.0,4540000.0,11332497000.0,7219279000.0,Other (upstream),94752.0,5260.920556805897,331524312.67345613,23838586403358.613,0.2710135336008153,0.5316324668282085
2018,USA,Computer hardware,Electrical & electronic equipment,31835760000.0,Third-party verification or assurance process in place,58472000000.0,5102000000.0,10669000000.0,5327000000.0,5166000000.0,711000000.0,53000000.0,34622000000.0,35261000000.0,764000000.0,5987000000.0,-639000000.0,Other (upstream),2870000.0,5260.920556805897,331524312.67345613,23838586403358.613,-0.7054696390571927,0.7928803594828658
2018,Germany,Software,IT & software development,112368772800.0,Third-party verification or assurance process in place,26684640000.0,7544880000.000001,18625680000.0,4409640000.0,9317160000.0,483840000.00000006,1658880000.0,55610280000.0,24423120000.0,2142720000.0,12207240000.0,31187160000.000004,Other (upstream),36642.0,785.8829151197605,83266019.01061712,4185212361474.664,1.5855138210948396,0.9339589042667337
2018,Spain,"Dealers, wholesalers & distributors","Trading, wholesale, distribution, rental & leasing",3147839991.7200003,Third-party verification or assurance process in place,10234602720.0,315691560.0,990188280.0,169242480.0,165796200.0,2063808720.0,-2056726080.0,7414405200.000001,6861868560.0,7082640.000000001,32080320.000000004,552536640.0,Other (upstream),22.0,284.0074776923077,47526614.02688638,1448411888707.506,-1.3542589378144247,0.7835850186998051
2018,Spain,Passenger airlines,Air transport,12627243243.36,Third-party verification or assurance process in place,26358480000.0,5384880000.0,7386120000.000001,3115800000.0,4098600000.000001,2631960000.0,-2512080000.0,30276720000.000004,23019120000.0,119880000.0,8109720000.000001,7257600000.000001,Other (upstream),3891.0,284.0074776923077,47526614.02688638,1448411888707.506,0.7535407561723136,0.7961930462144562
