Year,incorporated_country,Primary activity,Primary sector,Market_Cap_USD,Third_party_verification,Revenue_USD,ebitda_USD,grossProfit_USD,netIncome_USD,cashAndCashEquivalents_USD,shortTermInvestments_USD,longTermInvestments_USD,totalAssets_USD,totalLiabilities_USD,totalInvestments_USD,totalDebt_USD,totalEquity_USD,Scope_3_emissions_type,Scope_3_emissions_amount,country_ghg_avg,country_population_avg,country_gdp_avg,random_normal,random_uniform
2018,United Kingdom,Insurance,Financial services,10193435961.83,Third-party verification or assurance process in place,2912110000.0,1482090000.0,2814320000.0,1054100000.0,1447800000.0,7620000.0,6626860000.0,15896590000.0,6322060000.0,6626860000.0,1647190000.0,9574530000.0,Purchased goods and services,425.4,428.7667262376237,67346924.78373283,3038320070320.4893,-0.7018730402927916,0.5295459234706067
2018,United Kingdom,Other non-ferrous ore mining,Metallic mineral mining,7721229635.0,Third-party verification or assurance process in place,4733100000.0,2092800000.0,1925400000.0,543700000.0,1034400000.0,863200000.0,1060800000.0,14102500000.0,4664400000.0,1924000000.0,2493900000.0,9438099999.0,Purchased goods and services,271999.0,428.7667262376237,67346924.78373283,3038320070320.4893,1.7918531897122452,0.24632498560269678
2018,United Kingdom,Electrical equipment,Electrical & electronic equipment,15951555600.0,No third-party verification or assurance,14435000000.0,2260000000.0,2729000000.0,1067000000.0,567000000.0,72000000.0,99000000.0,12480000000.0,8810000000.0,171000000.0,4344000000.0,3670000000.0,Purchased goods and services,4210000.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.8853482649015834,0.40936181238269775
2018,United Kingdom,Electrical equipment,Electrical & electronic equipment,15951555600.0,No third-party verification or assurance,14435000000.0,2260000000.0,2729000000.0,1067000000.0,567000000.0,72000000.0,99000000.0,12480000000.0,8810000000.0,171000000.0,4344000000.0,3670000000.0,Purchased goods and services,4210000.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.5635502864989426,0.5154235936770278
2018,United Kingdom,Pharmaceuticals,Biotech & pharma,74410910000.0,Third-party verification or assurance process in place,22090000000.0,7165000000.0,17154000000.0,2155000000.0,4831000000.0,849000000.0,113000000.0,60651000000.0,46607000000.0,922000000.0,19113000000.0,14044000000.0,Purchased goods and services,4184555.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.20707365383419996,0.44292367000315935
2018,United Kingdom,Banks,Financial services,32646373112.0,Third-party verification or assurance process in place,26842720000.0,12710160000.0,26837640000.0,2725420000.0,224877630000.0,-186013090000.0,673037770000.0,1439269410000.0,1358270080000.0,487024680000.0,130613150000.0,80999330000.0,Purchased goods and services,11225689.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.14066755058240946,0.9215128147860221
2018,United Kingdom,Residential building construction,Construction,6017675204.91,Third-party verification or assurance process in place,6049137000.0,1152398000.0,1380998000.0,939800000.0,1442720000.0,1524000.0,240030000.0,9353804000.0,3170174000.0,240030000.0,1699768000.0,6183630000.0,Purchased goods and services,313507.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.25353615776142885,0.5442939267845234
2018,United Kingdom,REIT,Financial services,6501390821.17,Third-party verification or assurance process in place,1148080000.0,-302260000.0,641350000.0,-369570000.0,307340000.0,-195580000.0,3597910000.0,15565120000.0,4530090000.0,3402330000.0,3966210000.0,11035030000.0,Purchased goods and services,73901.0,428.7667262376237,67346924.78373283,3038320070320.4893,1.3174476246630713,0.5186014318096469
2018,United Kingdom,Telecommunications services,"Media, telecommunications & data center services",29971087503.73,Third-party verification or assurance process in place,29753560000.0,9392920000.0,19542760000.0,2741930000.0,2059940000.0,4081780000.0,128270000.0,58784490000.0,45872400000.0,128270000.0,21432520000.0,12912090000.0,Purchased goods and services,2575000.0,428.7667262376237,67346924.78373283,3038320070320.4893,-1.0644074846331995,0.6479685226587771
2018,United Kingdom,Clothing manufacture,Textiles & fabric goods,9107208600.38,Third-party verification or assurance process in place,3470656000.0,734568000.0,2409698000.0,372745000.0,1162431000.0,2032000.0,7366000.0,2823210000.0,1012952000.0,9398000.0,29464000.0,1810258000.0,Purchased goods and services,200400.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.07258318388990735,0.0012380742536434175
2018,United Kingdom,Non-alcoholic beverages,Food & beverage processing,24113808535.68,Third-party verification or assurance process in place,12837710684.160002,2319437043.36,4906372845.6,1013151502.44,301320055.08000004,32400005.4,2160000.0,19673283627.72,12584162319.84,34560005.400000006,6067441117.8,7089121306.8,Purchased goods and services,3316442.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.08324290709393586,0.8184006948903747
2018,United Kingdom,Residential building construction,Construction,1070923098.18,Third-party verification or assurance process in place,1423670000.0,232791000.0,313563000.0,181356000.0,234061000.0,4191000.0,1651000.0,2058035000.0,949706000.0,1651000.0,482473000.0,1108329000.0,Purchased goods and services,30.6,428.7667262376237,67346924.78373283,3038320070320.4893,0.24813626160348168,0.22231232588939098
2018,United Kingdom,Alcoholic beverages,Food & beverage processing,85830537000.0,Third-party verification or assurance process in place,15447010000.0,5896610000.0,9561830000.0,3837940000.0,1109980000.0,44450000.0,4066540000.0,37738050000.0,22862540000.0,4110990000.0,12575540000.0,14875510000.0,Purchased goods and services,1770327.0,428.7667262376237,67346924.78373283,3038320070320.4893,-2.388989753848917,0.670500210919874
2018,United Kingdom,Insurance,Financial services,5529276089.0,No third-party verification or assurance,4317365000.0,866140000.0,4317365000.0,601599000.0,1466088000.0,5264912000.0,5454396000.0,11920347000.0,8212455000.0,10719308000.0,408305000.0,3707892000.0,Purchased goods and services,1053.09,428.7667262376237,67346924.78373283,3038320070320.4893,-0.1410818423991854,0.6534710226196787
2018,United Kingdom,Fast food,"Bars, hotels & restaurants",1451018724.83,No third-party verification or assurance,678561000.0,129667000.0,283464000.0,62230000.0,31496000.0,-50038000.0,113157000.0,506095000.0,502920000.0,63119000.0,289687000.0,3175000.0,Purchased goods and services,33.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.27899137058616885,0.833258325885001
2018,United Kingdom,Non-CCGT generation,Thermal power generation,1845032124.0,Question not applicable,5370830000.0,408686000.0,812038000.0,25654000.0,367030000.0,-694309000.0,697357000.0,5753481000.0,3504311000.0,3048000.0,772287000.0,2249170000.0,Purchased goods and services,236.5,428.7667262376237,67346924.78373283,3038320070320.4893,0.41830981999865186,0.04741545640584577
