Year,incorporated_country,Primary activity,Primary sector,Market_Cap_USD,Third_party_verification,Revenue_USD,ebitda_USD,grossProfit_USD,netIncome_USD,cashAndCashEquivalents_USD,shortTermInvestments_USD,longTermInvestments_USD,totalAssets_USD,totalLiabilities_USD,totalInvestments_USD,totalDebt_USD,totalEquity_USD,Scope_3_emissions_type,Scope_3_emissions_amount,country_ghg_avg,country_population_avg,country_gdp_avg,random_normal,random_uniform
2018,United Kingdom,Insurance,Financial services,10193435961.83,Third-party verification or assurance process in place,2912110000.0,1482090000.0,2814320000.0,1054100000.0,1447800000.0,7620000.0,6626860000.0,15896590000.0,6322060000.0,6626860000.0,1647190000.0,9574530000.0,Waste generated in operations,14.13,428.7667262376237,67346924.78373283,3038320070320.4893,0.21420181692175724,0.1306240883098697
2018,United Kingdom,Electrical equipment,Electrical & electronic equipment,15951555600.0,No third-party verification or assurance,14435000000.0,2260000000.0,2729000000.0,1067000000.0,567000000.0,72000000.0,99000000.0,12480000000.0,8810000000.0,171000000.0,4344000000.0,3670000000.0,Waste generated in operations,104000.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.11806498396672804,0.4665497257319057
2018,United Kingdom,Electrical equipment,Electrical & electronic equipment,15951555600.0,No third-party verification or assurance,14435000000.0,2260000000.0,2729000000.0,1067000000.0,567000000.0,72000000.0,99000000.0,12480000000.0,8810000000.0,171000000.0,4344000000.0,3670000000.0,Waste generated in operations,104000.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.6467733025550692,0.14182517274723772
2018,United Kingdom,Pharmaceuticals,Biotech & pharma,74410910000.0,Third-party verification or assurance process in place,22090000000.0,7165000000.0,17154000000.0,2155000000.0,4831000000.0,849000000.0,113000000.0,60651000000.0,46607000000.0,922000000.0,19113000000.0,14044000000.0,Waste generated in operations,25361.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.28256944982200755,0.21731138135891148
2018,United Kingdom,Insurance,Financial services,18800104598.09,Third-party verification or assurance process in place,28284170000.0,256540000.0,28284170000.0,1991360000.0,20226020000.0,18415000000.0,70730110000.0,545491670000.0,11644630000.0,89145110000.0,13606780000.0,23437850000.0,Waste generated in operations,81.0,428.7667262376237,67346924.78373283,3038320070320.4893,-0.3292450942682923,0.1383660738192457
2018,United Kingdom,Banks,Financial services,32646373112.0,Third-party verification or assurance process in place,26842720000.0,12710160000.0,26837640000.0,2725420000.0,224877630000.0,-186013090000.0,673037770000.0,1439269410000.0,1358270080000.0,487024680000.0,130613150000.0,80999330000.0,Waste generated in operations,7231.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.5721164646546505,0.776119001035564
2018,United Kingdom,REIT,Financial services,6501390821.17,Third-party verification or assurance process in place,1148080000.0,-302260000.0,641350000.0,-369570000.0,307340000.0,-195580000.0,3597910000.0,15565120000.0,4530090000.0,3402330000.0,3966210000.0,11035030000.0,Waste generated in operations,437.0,428.7667262376237,67346924.78373283,3038320070320.4893,1.331018577984498,0.906621668379401
2018,United Kingdom,Non-alcoholic beverages,Food & beverage processing,2702901630.0,Third-party verification or assurance process in place,1909572000.0,271907000.0,1018032000.0,148717000.0,139065000.0,46101000.0,51181000.0,2235708000.0,1756537000.0,97282000.0,976757000.0,479171000.0,Waste generated in operations,446.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.21966258153959314,0.048924971895751845
2018,United Kingdom,Telecommunications services,"Media, telecommunications & data center services",29971087503.73,Third-party verification or assurance process in place,29753560000.0,9392920000.0,19542760000.0,2741930000.0,2059940000.0,4081780000.0,128270000.0,58784490000.0,45872400000.0,128270000.0,21432520000.0,12912090000.0,Waste generated in operations,13000.0,428.7667262376237,67346924.78373283,3038320070320.4893,-1.9258674251753325,0.7477686968621022
2018,United Kingdom,Non-alcoholic beverages,Food & beverage processing,24113808535.68,Third-party verification or assurance process in place,12837710684.160002,2319437043.36,4906372845.6,1013151502.44,301320055.08000004,32400005.4,2160000.0,19673283627.72,12584162319.84,34560005.400000006,6067441117.8,7089121306.8,Waste generated in operations,7226.0,428.7667262376237,67346924.78373283,3038320070320.4893,0.9633802565676691,0.2979754547782626
